Source,Target,Score
物理学概論第一,物理学概論第二,1.0
物理学演習第二,物理学演習第二,1.0
物理学概論第一,物理学演習第二,0.8162162162162162
物理学概論第二,物理学演習第二,0.8162162162162162
物理学概論第一,物理学演習第一,0.7666666666666666
物理学概論第二,物理学演習第一,0.7666666666666666
物理学演習第一,物理学演習第二,0.7483870967741936
データサイエンス演習,多変量解析,0.7
マーケティング科学,多変量解析,0.6952380952380952
データサイエンス演習,マーケティング科学,0.6816326530612244
幾何学概論（Ⅰ類）,線形代数学第二,0.6761904761904762
品質管理第一,品質管理第二,0.6717948717948717
プログラミング言語実験,情報領域演習第二,0.6275862068965516
データサイエンス演習,言語認知工学,0.6252631578947369
アルゴリズム論第一,アルゴリズム論第二,0.6228571428571429
数学演習第二,電気・電子回路,0.6218181818181818
多変量解析,言語認知工学,0.619277108433735
マーケティング科学,言語認知工学,0.6158415841584158
線形代数学第二,離散数学,0.6119402985074627
信頼性工学,品質管理第一,0.6097560975609756
データサイエンス,データサイエンス演習,0.6096385542168674
数学演習第二,線形代数学第二,0.6095238095238095
プログラミング言語実験,プログラム言語論,0.609090909090909
信頼性工学,金融工学（集中）,0.6072727272727273
材料化学,物理学演習第二,0.6058823529411764
データサイエンス,多変量解析,0.6057142857142856
信頼性工学,品質管理第二,0.6056338028169014
材料化学,物理学演習第一,0.6050632911392405
データサイエンス,マーケティング科学,0.6045454545454545
オペレーションズ・リサーチ基礎,データサイエンス,0.6
コミュニケーション論,複素関数論（Ⅰ類）,0.6
化学概論第二,材料化学,0.6
材料化学,物理学概論第一,0.6
材料化学,物理学概論第二,0.6
物理学演習第一,複素関数論（Ⅰ類）,0.6
プログラミング言語実験,多変量解析,0.33199999999999996
品質管理第二,金融工学（集中）,0.32105263157894737
コミュニケーション論,マーケティング科学,0.3194444444444444
アルゴリズム論第二,社会情報論,0.3137931034482758
品質管理第一,金融工学（集中）,0.3137931034482758
データサイエンス演習,情報領域演習第二,0.31066666666666665
アルゴリズム論第二,複素関数論（Ⅰ類）,0.3097560975609756
物理学概論第三,物理学演習第二,0.30754716981132074
コミュニケーション論,金融工学（集中）,0.30727272727272725
インタラクティブシステム,信頼性工学,0.3063492063492063
物理学概論第三,物理学演習第一,0.30624999999999997
マーケティング科学,信頼性工学,0.30425531914893617
コンピュータリテラシー,ソフトウェア工学,0.3040816326530612
コミュニケーション論,物理学概論第三,0.30377358490566037
コミュニケーション論,信頼性工学,0.3032520325203252
アルゴリズム論第一,物理学概論第一,0.3
アルゴリズム論第一,物理学概論第二,0.3
アルゴリズム論第一,物理学演習第一,0.3
アルゴリズム論第一,物理学演習第二,0.3
アルゴリズム論第二,金融工学（集中）,0.3
オペレーションズ・リサーチ基礎,データサイエンス演習,0.3
オペレーションズ・リサーチ基礎,プログラミング通論,0.3
オペレーションズ・リサーチ基礎,マーケティング科学,0.3
オペレーションズ・リサーチ基礎,言語認知工学,0.3
ゲーム情報学,データサイエンス演習,0.3
ゲーム情報学,マーケティング科学,0.3
ゲーム情報学,言語認知工学,0.3
コンピュータネットワーク,信頼性工学,0.3
コンピュータリテラシー,信頼性工学,0.3
ソフトウェア工学,信頼性工学,0.3
化学概論第二,物理学概論第一,0.3
化学概論第二,物理学概論第二,0.3
化学概論第二,物理学演習第一,0.3
化学概論第二,物理学演習第二,0.3
幾何学概論（Ⅰ類）,離散数学,0.3
物理学概論第一,物理学概論第三,0.3
物理学概論第一,複素関数論（Ⅰ類）,0.3
物理学概論第三,物理学概論第二,0.3
物理学概論第二,複素関数論（Ⅰ類）,0.3
物理学演習第二,複素関数論（Ⅰ類）,0.3
